Attacker,Defender,P1_Wins,P2_Wins,P1_WinRate
Sceptile,Swampert,5,0,1.000
Sceptile,Blaziken,0,5,0.000
Sceptile,Mightyena,5,0,1.000
Sceptile,Pelipper,2,3,0.400
Sceptile,Gardevoir,0,5,0.000
Sceptile,Masquerain,0,5,0.000
Sceptile,Shiftry,4,1,0.800
Sceptile,Ludicolo,5,0,1.000
Sceptile,Breloom,5,0,1.000
Blaziken,Ludicolo,5,0,1.000
Blaziken,Gardevoir,0,5,0.000
Blaziken,Swampert,0,5,0.000
Blaziken,Mightyena,5,0,1.000
Blaziken,Shiftry,5,0,1.000
Blaziken,Pelipper,0,5,0.000
Blaziken,Masquerain,0,5,0.000
Blaziken,Breloom,5,0,1.000
Swampert,Ludicolo,0,5,0.000
Swampert,Gardevoir,5,0,1.000
Swampert,Mightyena,5,0,1.000
Swampert,Masquerain,4,1,0.800
Swampert,Breloom,0,5,0.000
Swampert,Shiftry,0,5,0.000
Swampert,Pelipper,0,5,0.000
Mightyena,Ludicolo,2,3,0.400
Mightyena,Gardevoir,0,5,0.000
Ludicolo,Shiftry,5,0,1.000
Mightyena,Breloom,0,5,0.000
Mightyena,Masquerain,0,5,0.000
Mightyena,Shiftry,5,0,1.000
Mightyena,Pelipper,5,0,1.000
Ludicolo,Pelipper,5,0,1.000
Shiftry,Pelipper,0,5,0.000
Ludicolo,Masquerain,0,5,0.000
Shiftry,Gardevoir,0,5,0.000
Ludicolo,Breloom,5,0,1.000
Ludicolo,Gardevoir,0,5,0.000
Shiftry,Breloom,0,5,0.000
Pelipper,Gardevoir,0,5,0.000
Shiftry,Masquerain,0,5,0.000
Gardevoir,Breloom,5,0,1.000
Pelipper,Breloom,5,0,1.000
Pelipper,Masquerain,5,0,1.000
Gardevoir,Masquerain,5,0,1.000
Masquerain,Breloom,5,0,1.000
